Driver,wet_performance_factor,dry_performance_factor,wet_points,dry_points,wet_races,dry_races,wet_deltas,dry_averages
NOR,0.559,0.231,0,0,4,7,3.469446951953614e-18,-0.01578947368421053
PIA,0.41,0.423,0,0,4,7,-0.03045112781954887,0.006766917293233082
HUL,0.994,0.481,0,0,4,7,0.08909774436090225,0.013533834586466167
HAM,0.873,0.288,0,0,4,7,0.0642857142857143,-0.009022556390977448
VER,0.953,0.115,0,0,4,7,0.0806390977443609,-0.029323308270676692
GAS,0.843,0.308,0,0,4,7,0.058082706766917284,-0.006766917293233079
STR,0.586,0.654,0,0,4,7,0.005639097744360909,0.033834586466165405
ALB,0.52,0.231,0,0,4,7,-0.007894736842105263,-0.01578947368421053
ALO,0.528,0.115,0,0,4,7,-0.0062030075187969914,-0.029323308270676692
RUS,0.388,0.462,0,0,4,7,-0.03496240601503759,0.011278195488721804
BEA,0.523,1.0,0,0,4,7,-0.00733082706766916,0.0744360902255639
SAI,0.426,0.327,0,0,4,7,-0.02706766917293232,-0.0045112781954887255
OCO,0.413,0.788,0,0,4,7,-0.02988721804511278,0.04962406015037594
LEC,0.526,0.154,0,0,4,7,-0.0067669172932330775,-0.02481203007518797
TSU,0.165,0.346,0,0,4,7,-0.0806390977443609,-0.0022556390977443636
ANT,1.0,0.0,0,0,3,7,0.09022556390977443,-0.04285714285714286
HAD,0.0,0.173,0,0,3,7,-0.11428571428571427,-0.022556390977443604
BOR,0.496,0.385,0,0,3,7,-0.012781954887218044,0.0022556390977443606
LAW,0.438,0.442,0,0,4,7,-0.024812030075187966,0.009022556390977442
COL,0.404,0.41,0,0,3,3,-0.03157894736842105,0.005263157894736844
DOO,0.5,0.365,0,0,1,4,,0.0
PER,0.5,0.5,0,0,1,0,,
BOT,0.5,0.5,0,0,1,0,,
ZHO,0.5,0.5,0,0,1,0,,
