Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,TimeDiff,NewStint,StintNumber,LapTimeSeconds
0 days 01:07:36.840000,VER,1,0 days 00:01:32.161000,7.0,5.0,,,0 days 00:00:29.774000,0 days 00:00:37.193000,0 days 00:00:25.194000,0 days 01:06:34.453000,0 days 01:07:11.646000,0 days 01:07:36.840000,294.0,251.0,244.0,301.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:06:04.679000,2025-07-04 15:51:04.682,1,,False,,False,True,0 days 00:01:32.016000,False,4,92.161
0 days 01:09:09.346000,VER,1,0 days 00:01:32.506000,8.0,5.0,,,0 days 00:00:30.039000,0 days 00:00:37.069000,0 days 00:00:25.398000,0 days 01:08:06.879000,0 days 01:08:43.948000,0 days 01:09:09.346000,,255.0,244.0,301.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:07:36.840000,2025-07-04 15:52:36.843,1,,False,,False,True,0 days 00:01:32.161000,False,4,92.506
0 days 01:10:47.979000,VER,1,0 days 00:01:38.633000,9.0,5.0,,,0 days 00:00:30.055000,0 days 00:00:37.106000,0 days 00:00:31.472000,0 days 01:09:39.401000,0 days 01:10:16.507000,0 days 01:10:47.979000,295.0,255.0,245.0,305.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:09:09.346000,2025-07-04 15:54:09.349,1,,False,,False,True,0 days 00:01:32.506000,False,4,98.633
0 days 01:12:19.924000,VER,1,0 days 00:01:31.945000,10.0,5.0,,,0 days 00:00:29.847000,0 days 00:00:36.912000,0 days 00:00:25.186000,0 days 01:11:17.826000,0 days 01:11:54.738000,0 days 01:12:19.924000,297.0,255.0,244.0,301.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:10:47.979000,2025-07-04 15:55:47.982,1,,False,,False,True,0 days 00:01:38.633000,False,4,91.945
0 days 01:07:52.881000,NOR,4,0 days 00:01:32.213000,11.0,4.0,,,0 days 00:00:29.925000,0 days 00:00:37.113000,0 days 00:00:25.175000,0 days 01:06:50.593000,0 days 01:07:27.706000,0 days 01:07:52.881000,301.0,251.0,246.0,297.0,False,MEDIUM,13.0,False,McLaren,0 days 01:06:20.668000,2025-07-04 15:51:20.671,1,,False,,False,True,0 days 00:01:32.368000,False,3,92.213
0 days 01:09:25.178000,NOR,4,0 days 00:01:32.297000,12.0,4.0,,,0 days 00:00:29.929000,0 days 00:00:37.092000,0 days 00:00:25.276000,0 days 01:08:22.810000,0 days 01:08:59.902000,0 days 01:09:25.178000,298.0,254.0,244.0,301.0,False,MEDIUM,14.0,False,McLaren,0 days 01:07:52.881000,2025-07-04 15:52:52.884,1,,False,,False,True,0 days 00:01:32.213000,False,3,92.297
0 days 01:10:57.540000,NOR,4,0 days 00:01:32.362000,13.0,4.0,,,0 days 00:00:30.010000,0 days 00:00:37.269000,0 days 00:00:25.083000,0 days 01:09:55.188000,0 days 01:10:32.457000,0 days 01:10:57.540000,300.0,255.0,244.0,312.0,False,MEDIUM,15.0,False,McLaren,0 days 01:09:25.178000,2025-07-04 15:54:25.181,1,,False,,False,True,0 days 00:01:32.297000,False,3,92.362
0 days 01:03:39.882000,BOR,5,0 days 00:01:33.681000,7.0,4.0,,,0 days 00:00:30.070000,0 days 00:00:37.754000,0 days 00:00:25.857000,0 days 01:02:36.271000,0 days 01:03:14.025000,0 days 01:03:39.882000,290.0,249.0,246.0,293.0,False,MEDIUM,14.0,False,Kick Sauber,0 days 01:02:06.201000,2025-07-04 15:47:06.204,1,,False,,False,True,0 days 00:01:33.601000,False,3,93.681
0 days 01:05:14.008000,BOR,5,0 days 00:01:34.126000,8.0,4.0,,,0 days 00:00:30.214000,0 days 00:00:38.020000,0 days 00:00:25.892000,0 days 01:04:10.096000,0 days 01:04:48.116000,0 days 01:05:14.008000,291.0,249.0,243.0,293.0,False,MEDIUM,15.0,False,Kick Sauber,0 days 01:03:39.882000,2025-07-04 15:48:39.885,1,,False,,False,True,0 days 00:01:33.681000,False,3,94.126
0 days 01:06:48.047000,BOR,5,0 days 00:01:34.039000,9.0,4.0,,,0 days 00:00:30.136000,0 days 00:00:37.899000,0 days 00:00:26.004000,0 days 01:05:44.144000,0 days 01:06:22.043000,0 days 01:06:48.047000,,248.0,246.0,291.0,False,MEDIUM,16.0,False,Kick Sauber,0 days 01:05:14.008000,2025-07-04 15:50:14.011,1,,False,,False,True,0 days 00:01:34.126000,False,3,94.039
